ID,Gene_name,Variant_effect,prediction,weight,prediction_envt,weight_envt
89,KCNE1,missense,C,3,BBBx-AAAA,1110-5666
90,KCNQ1,missense,B,9,BBBB-BExx,9999-9500
91,KCNQ1,missense,x,0,xxxx-xxxx,0000-0000
92,KCNH2,missense,x,0,xxxx-xxxx,0000-0000
93,KCNE1,missense,x,0,xxxx-CPOC,0000-1111
94,KCNH2,missense,A,7,AAAA-Axxx,9999-4000
95,KCNH2,missense,x,0,xxxx-xxxx,0000-0000
97,KCNH2,missense,x,0,xxxx-xxxx,0000-0000
98,KCNH2,missense,x,0,PPxx-xxxx,1100-0000
99,KCNH2,missense,x,0,xxxx-xxxx,0000-0000
100,SCN5A,missense,x,0,xxxx-AAAA,0000-6999
101,KCNE1,missense,x,0,xxxx-xxxx,0000-0000
102,SCN5A,missense,x,0,OCAx-xAAA,1110-0356
105,KCNQ1,missense,x,0,Axxx-xxxx,2000-0000
106,KCNH2,missense,x,0,xxxx-xxxx,0000-0000
107,SCN5A,missense,x,0,xxxx-xxxx,0000-0000
108,KCNH2,missense,x,0,xxxx-xxxx,0000-0000
109,KCNE2,missense,x,0,xxxx-xxxx,0000-0000
110,CAV3,missense,x,0,xxxx-xxGP,0000-0023
111,KCNH2,missense,x,0,EOEP-xxxx,1111-0000
112,BBS2,missense,x,0,xxxx-xxxx,0000-0000
113,MKKS,missense,x,0,BBBx-xxxx,3320-0000
115,MKKS,missense,x,0,xxxx-xxxx,0000-0000
118,BBS4,missense,A,9,AAAA-AAxx,9999-9300
119,BBS2,missense,x,0,BBBB-xxxx,1111-0000
120,BBS1,missense,x,0,xxxx-xxxx,0000-0000
121,BBS7,missense,x,0,BBBE-xxxx,5542-0000
123,BBS1,missense,B,3,xBBB-BBxx,0233-3200
124,MKKS,missense,x,0,xxxx-xxxx,0000-0000
126,MKKS,missense,x,0,xxxx-xxxx,0000-0000
127,BBS2,missense,A,9,AAAA-AAAA,9999-9999
128,BBS4,missense,A,7,AExA-AAAA,1104-9999
130,BBS4,missense,x,0,xxxx-xxxx,0000-0000
131,BBS2,missense,A,9,AAAA-AAAA,9999-9999
132,BBS4,missense,x,0,xxxx-GAAA,0000-9999
136,BBS7,missense,x,0,xxxx-xxxx,0000-0000
140,BBS2,missense,x,0,xxxx-xxxx,0000-0000
141,BBS2,missense,A,9,AAAA-AAAA,9999-9999
143,CEP290,missense,x,0,xxxx-xAAA,0000-0599
144,BBS10,missense,x,0,xxxx-xxxx,0000-0000
146,BBS5,missense,G,4,BBBB-BBBB,9997-4677
149,BBS10,missense,A,3,xxxA-AAAA,0002-3332
151,BBS12,missense,x,0,BPxx-xxxx,6200-0000
152,BBS12,missense,x,0,xxxx-xxxx,0000-0000
153,BBS10,missense,A,7,xxxA-AAAA,0004-9999
155,BBS4,missense,x,0,xxxx-xxxx,0000-0000
157,BBS10,missense,A,9,AAAA-AAAA,9999-9999
159,BBS10,missense,x,0,xxxx-xxxC,0000-0001
163,BBS10,missense,x,0,xxxx-BBBB,0000-2333
165,BBS12,missense,x,0,xxxx-xxxx,0000-0000
167,BBS12,missense,A,9,xxAA-AAAA,0069-9999
168,MKKS,missense,x,0,xxxx-xxxx,0000-0000
170,BBS2,missense,A,9,xAEA-AAAA,0999-9999
171,BBS10,missense,x,0,xxxx-xxxx,0000-0000
174,TTC8,missense,x,0,xxxx-xxxx,0000-0000
175,BBS9,missense,A,1,ACGA-xxxx,9993-0000
178,MKKS,missense,x,0,AGxx-xxxx,5300-0000
179,BBS10,missense,B,6,xxBB-BBBB,0035-6653
180,ARL6,missense,B,5,xxxP-BBBB,0003-6665
181,TTC8,missense,x,0,xxxx-xxxx,0000-0000
182,TTC8,missense,B,2,xxxB-BOEB,0001-2222
184,BBS12,missense,x,0,xxxx-xxxx,0000-0000
185,BBS1,missense,x,0,xxxx-xxxx,0000-0000
186,NPHS2,missense,A,7,AACA-Axxx,9999-1000
187,CD2AP,missense,x,0,xxxx-xxxP,0000-0001
188,NPHS1,missense,x,0,xxxx-xxxx,0000-0000
191,NPHS1,missense,C,1,xAAA-Exxx,0111-1000
192,TYR,missense,x,0,xxxx-xxxx,0000-0000
193,SLC45A2,missense,x,0,BBBC-xxxx,9742-0000
195,SLC45A2,missense,x,0,xxxx-xxxx,0000-0000
196,OCA2,missense,B,1,xxxG-BBEx,0001-1110
197,SLC45A2,missense,x,0,xxxx-xxxx,0000-0000
199,OCA2,missense,x,0,xxxx-xxxE,0000-0001
200,IL10RA,missense,x,0,xxxx-xxxx,0000-0000
201,IL10RA,missense,C,2,xxxx-PPPB,0000-3333
202,NOD2,missense,A,9,AAAA-GAAA,9999-9999
203,EDA,missense,x,0,xxxx-xxAA,0000-0023
205,MTR,missense,x,0,xxxx-xxxx,0000-0000
206,MYO7A,missense,A,3,AAGA-AAAx,6553-3320
208,EDA,missense,x,0,xxxx-xxxx,0000-0000
209,WNT10A,missense,A,9,AAAA-AAAA,9999-9999
210,EDA,missense,B,3,PBBB-Bxxx,2333-2000
212,EDA,missense,A,9,AAAA-AAAG,9999-9997
213,WNT10A,missense,x,0,xxxx-xxxx,0000-0000
215,MYO6,missense,x,0,xxxx-xxxx,0000-0000
217,CPT2,missense,C,1,BBBB-xxxx,1111-0000
219,FGFR1,missense,x,0,BBBB-xxxx,3332-0000
220,GNRHR,missense,A,9,AAAA-AAAG,9999-9999
221,KAL1,missense,x,0,xxxx-xxxx,0000-0000
222,PROKR2,missense,x,0,xxxx-xxxx,0000-0000
223,FGFR1,missense,B,7,xxxG-BBBB,0004-9999
224,KISS1R,missense,x,0,xxxx-xxxx,0000-0000
225,PROK2,missense,x,0,xxxx-xxxB,0000-0001
226,PROKR2,missense,x,0,xxxx-xxxx,0000-0000
227,FGFR1,missense,x,0,xxxx-xxxx,0000-0000
228,KAL1,missense,x,0,xxxx-xxxx,0000-0000
230,SCN5A,missense,x,0,xxxx-xxxx,0000-0000
231,KCNQ1,missense,x,0,xxxx-xxxx,0000-0000
233,KCNJ10,missense,x,0,xxxx-xxxx,0000-0000
234,SLC26A4,missense,x,0,BPCE-xxxx,1111-0000
235,KCNJ10,missense,x,0,xxxx-xxxx,0000-0000
238,GDNF,missense,A,6,AAAA-AAAA,3336-7776
245,MFN2,missense,x,0,xxxx-xxxx,0000-0000
247,MYO7A,missense,x,0,xxxx-xxxx,0000-0000
248,CDH23,missense,x,0,BEPx-AAAA,9620-6999
250,CDH23,missense,x,0,AAAA-xxxx,9995-0000
252,GPR98,missense,x,0,BBBB-xxxx,3332-0000
255,DFNB31,missense,x,0,xxxx-xxxx,0000-0000
256,MYO7A,missense,x,0,xxxx-xxxx,0000-0000
258,USH2A,missense,x,0,xxxx-xxxx,0000-0000
266,IL17RD,missense,x,0,xxxx-xxxx,0000-0000
267,FGFR1,missense,x,0,xxxx-xxxx,0000-0000
268,IL17RD,missense,x,0,xxxx-xxxx,0000-0000
269,KISS1R,missense,x,0,xxxx-xPAA,0000-0599
270,DUSP6,missense,x,0,xxxx-xxxx,0000-0000
271,FGFR1,missense,B,1,xxxB-BBBx,0001-1110
272,DUSP6,missense,x,0,xxxx-xxxx,0000-0000
274,DUSP6,missense,x,0,xxxx-xxxx,0000-0000
275,FGFR1,missense,x,0,xxxx-xxxx,0000-0000
276,FGFR1,missense,x,0,xxxx-xxxx,0000-0000
277,FLRT3,missense,x,0,xxxx-xxxx,0000-0000
279,ITGA7,missense,x,0,xxxx-xxxx,0000-0000
281,HNF4A,missense,x,0,xxxx-xxxx,0000-0000
283,NPHS2,missense,x,0,AAAA-AAAA,9997-9999
284,NPHS1,missense,x,0,xxxx-xxxx,0000-0000
286,EDA,missense,A,9,AAAA-Gxxx,9999-7000
287,USH2A,missense,x,0,xxxx-xxxx,0000-0000
289,MKKS,missense,x,0,xxxx-xxxx,0000-0000
290,BBS2,missense,x,0,xxxx-xBPP,0000-0111
293,KAL1,missense,x,0,xxxx-xxxx,0000-0000
295,LMNA,missense,x,0,xxxx-AAAA,0000-9999
296,PRF1,missense,x,0,xxxx-xxxx,0000-0000
298,PRF1,missense,x,0,Axxx-xxxx,1000-0000
300,PRF1,missense,x,0,xxxx-xxEP,0000-0044
301,UNC13D,missense,x,0,xxxx-xxxx,0000-0000
302,UNC13D,missense,x,0,xxxx-AAAA,0000-9999
303,UNC13D,missense,x,0,AAxx-xxxx,9500-0000
304,UNC13D,missense,A,9,AAAA-AAGC,9999-9999
305,PRF1,missense,x,0,xxxx-xxxx,0000-0000
306,UNC13D,missense,A,9,xxCA-AAAA,0015-9999
307,UNC13D,missense,x,0,CGPx-xxxx,6410-0000
308,PRF1,missense,A,9,AAAA-AAAA,6699-9999
309,UNC13D,missense,A,9,AAAA-AAAA,9999-9999
310,UNC13D,missense,A,9,AAAA-AAAA,9999-9999
312,UNC13D,missense,A,9,AAAA-AAAA,9999-9999
313,PRF1,missense,x,0,BBBP-xxAA,6653-0079
314,UNC13D,missense,A,1,AAAA-Axxx,9711-1000
315,STXBP2,missense,x,0,GACx-xxxx,5210-0000
316,PRF1,missense,x,0,xxxx-xxxx,0000-0000
317,STXBP2,missense,x,0,xxxx-xxxG,0000-0003
318,STXBP2,missense,x,0,xxxx-xxxx,0000-0000
320,STXBP2,missense,x,0,xxxx-xxxx,0000-0000
323,STXBP2,missense,x,0,xxxx-xxxx,0000-0000
324,UNC13D,missense,A,9,xAAA-AAAA,0999-9999
325,STX11,missense,A,1,AAAx-AAAA,1110-1111
326,STXBP2,missense,x,0,xxxx-xxxx,0000-0000
327,STX11,missense,A,9,xxAA-AAAA,0099-9999
328,RAB27A,missense,x,0,xxxx-xxxx,0000-0000
329,PROKR2,missense,A,5,AAAA-GAAG,5545-5422
330,FGFR1,missense,x,0,xxxx-AAAA,0000-3444
331,PROKR2,missense,A,9,AAAA-ACxx,9999-9800
332,PROKR2,missense,B,9,xxxB-BBBB,0005-9999
333,GNRHR,missense,x,0,xxxx-xxxx,0000-0000
334,POLG,missense,x,0,xxxx-xxxx,0000-0000
335,C10orf2,missense,x,0,AAEA-xAAA,9974-0478
338,DSP,missense,x,0,xxxx-xxxx,0000-0000
340,MYH7,missense,G,5,AAAx-AAAA,9990-9999
341,NEXN,missense,A,9,AAAA-xxxA,9999-0001
342,MYH7,missense,A,9,AAAA-AAGA,9999-9998
344,DSP,missense,x,0,xxxx-xxxx,0000-0000
345,JUP,missense,x,0,xxxx-xxxx,0000-0000
347,JUP,missense,C,2,xCCC-PPAA,0222-2579
350,BMPR2,missense,A,9,AAAA-AAAA,9999-9999
353,PDX1,missense,x,0,BPBx-xxxx,9720-0000
354,NEUROD1,missense,x,0,xxxx-xxxx,0000-0000
358,PROK2,missense,x,0,xxxx-xxxx,0000-0000
359,GNRHR,missense,A,1,AGAA-CxxB,9911-1001
360,ABCC9,missense,A,9,AAAA-Axxx,9999-3000
363,NEXN,missense,A,9,AAAA-AAAA,9999-9999
366,ATP2B3,missense,G,4,xxxx-BBBB,0000-7999
367,LAMA1,missense,x,0,xxxx-xxxx,0000-0000
368,LAMA1,missense,x,0,BBGx-xxxx,8510-0000
369,DSP,missense,A,9,AAAA-AAAA,9999-9999
370,PRPH2,missense,x,0,xxxx-xxxx,0000-0000
373,C10orf2,missense,B,2,BBBB-xxxx,3333-0000
